sim,true_beta,n,model,p,n_f,true_beta_f
42,0,25,model4,0.10193246766969591,25,beta = 0
43,0,25,model1,0.8439502303808957,25,beta = 0
43,0,25,model2,0.5565132445529442,25,beta = 0
43,0,25,model3,0.5038855306606964,25,beta = 0
43,0,25,model4,0.14247863904965744,25,beta = 0
44,0,25,model1,0.9667668428186047,25,beta = 0
44,0,25,model2,0.7505938101413195,25,beta = 0
44,0,25,model3,0.4656544084541746,25,beta = 0
44,0,25,model4,0.43711767033567084,25,beta = 0
45,0,25,model1,0.34627374174376646,25,beta = 0
45,0,25,model2,0.4667300166552951,25,beta = 0
45,0,25,model3,0.4190834433198133,25,beta = 0
45,0,25,model4,0.6213178849580987,25,beta = 0
46,0,25,model1,0.4267915901906433,25,beta = 0
46,0,25,model2,0.9564100504972464,25,beta = 0
46,0,25,model3,0.44207480238597563,25,beta = 0
46,0,25,model4,0.5438763183895317,25,beta = 0
47,0,25,model1,0.07702999894930808,25,beta = 0
47,0,25,model2,0.0743965316819742,25,beta = 0
47,0,25,model3,0.5057539260577455,25,beta = 0
47,0,25,model4,0.3552248310204893,25,beta = 0
48,0,25,model1,0.05737553888423565,25,beta = 0
48,0,25,model2,0.8582957037414221,25,beta = 0
48,0,25,model3,0.054378785220629965,25,beta = 0
48,0,25,model4,0.40181459419578924,25,beta = 0
49,0,25,model1,0.2444452732707651,25,beta = 0
49,0,25,model2,0.8688020245896985,25,beta = 0
49,0,25,model3,0.03759723797330099,25,beta = 0
49,0,25,model4,0.6101727032252462,25,beta = 0
50,0,25,model1,0.007441829216021471,25,beta = 0
50,0,25,model2,0.37181246156711434,25,beta = 0
50,0,25,model3,0.5108628287133149,25,beta = 0
50,0,25,model4,0.6640427908792697,25,beta = 0
51,0,25,model1,0.2920072250362856,25,beta = 0
51,0,25,model2,0.4574059767395201,25,beta = 0
51,0,25,model3,0.9969524911210434,25,beta = 0
51,0,25,model4,0.955212158229926,25,beta = 0
52,0,25,model1,0.08571684641394607,25,beta = 0
52,0,25,model2,0.2377413836099911,25,beta = 0
52,0,25,model3,0.9036156870208158,25,beta = 0
52,0,25,model4,0.382795614542251,25,beta = 0
53,0,25,model1,0.8070729549423452,25,beta = 0
53,0,25,model2,0.25224440254259567,25,beta = 0
53,0,25,model3,0.24094793192814135,25,beta = 0
53,0,25,model4,0.5895570810755135,25,beta = 0
54,0,25,model1,0.780417360708451,25,beta = 0
54,0,25,model2,0.540033594449238,25,beta = 0
54,0,25,model3,0.2808425303676361,25,beta = 0
54,0,25,model4,0.36287558992993596,25,beta = 0
55,0,25,model1,0.6473338351689903,25,beta = 0
55,0,25,model2,0.15672078439389112,25,beta = 0
55,0,25,model3,0.5398557190292063,25,beta = 0
55,0,25,model4,0.47217591077156384,25,beta = 0
56,0,25,model1,0.9464223603412922,25,beta = 0
56,0,25,model2,0.11184880227343186,25,beta = 0
56,0,25,model3,0.20438171978247077,25,beta = 0
56,0,25,model4,0.6936359517192813,25,beta = 0
57,0,25,model1,0.5749254568309095,25,beta = 0
57,0,25,model2,0.09682534604923874,25,beta = 0
57,0,25,model3,0.3942681418203102,25,beta = 0
57,0,25,model4,0.9322207970548526,25,beta = 0
58,0,25,model1,0.37203032448758255,25,beta = 0
58,0,25,model2,0.750508686489691,25,beta = 0
58,0,25,model3,0.6957553738757118,25,beta = 0
58,0,25,model4,0.5998698952765114,25,beta = 0
59,0,25,model1,0.17193631815808622,25,beta = 0
59,0,25,model2,0.991685389804071,25,beta = 0
59,0,25,model3,0.1509555278633261,25,beta = 0
59,0,25,model4,0.5172365188048265,25,beta = 0
60,0,25,model1,0.44217269169181306,25,beta = 0
60,0,25,model2,0.42772140561216065,25,beta = 0
60,0,25,model3,0.09983383721826512,25,beta = 0
60,0,25,model4,0.34867861588295723,25,beta = 0
61,0,25,model1,0.7198560943053713,25,beta = 0
61,0,25,model2,0.6302275427806066,25,beta = 0
61,0,25,model3,0.935093394142583,25,beta = 0
61,0,25,model4,0.203564801185897,25,beta = 0
62,0,25,model1,0.037102082653555385,25,beta = 0
62,0,25,model2,0.5535145295466419,25,beta = 0
62,0,25,model3,0.014441666170012418,25,beta = 0
62,0,25,model4,0.8862000846572612,25,beta = 0
63,0,25,model1,0.5290905968211557,25,beta = 0
63,0,25,model2,0.05797330800241485,25,beta = 0
63,0,25,model3,0.07293904862115158,25,beta = 0
63,0,25,model4,0.2837950416715026,25,beta = 0
64,0,25,model1,0.7019263850110977,25,beta = 0
64,0,25,model2,0.046103560006783284,25,beta = 0
64,0,25,model3,0.572643140951307,25,beta = 0
64,0,25,model4,0.19256271089167287,25,beta = 0
65,0,25,model1,0.7954297678498263,25,beta = 0
65,0,25,model2,0.8653495446789928,25,beta = 0
65,0,25,model3,0.8126457580985906,25,beta = 0
65,0,25,model4,0.4124324571336925,25,beta = 0
66,0,25,model1,0.5195092773253611,25,beta = 0
66,0,25,model2,0.19736838771195164,25,beta = 0
66,0,25,model3,0.7120363443983336,25,beta = 0
66,0,25,model4,0.8665803579141922,25,beta = 0
67,0,25,model1,0.5283265313733263,25,beta = 0
67,0,25,model2,0.20128447181141887,25,beta = 0
67,0,25,model3,0.38422293128359175,25,beta = 0
67,0,25,model4,0.19624286821211362,25,beta = 0
68,0,25,model1,0.23381028281173094,25,beta = 0
68,0,25,model2,0.6732135222431923,25,beta = 0
68,0,25,model3,0.0026688708213836376,25,beta = 0
68,0,25,model4,0.3598775511602498,25,beta = 0
69,0,25,model1,0.31176587226644503,25,beta = 0
69,0,25,model2,0.5819616356028967,25,beta = 0
69,0,25,model3,0.7053303594564677,25,beta = 0
69,0,25,model4,0.00991854368248413,25,beta = 0
70,0,25,model1,0.5882501765936019,25,beta = 0
70,0,25,model2,0.7115629429718576,25,beta = 0
70,0,25,model3,0.771330775149343,25,beta = 0
70,0,25,model4,0.10810389017197237,25,beta = 0
71,0,25,model1,0.37160583321033713,25,beta = 0
71,0,25,model2,0.04343842127271304,25,beta = 0
71,0,25,model3,0.5782473723138271,25,beta = 0
71,0,25,model4,0.6003830104852366,25,beta = 0
72,0,25,model1,0.34060948735986674,25,beta = 0
72,0,25,model2,0.23700515824224572,25,beta = 0
72,0,25,model3,0.26875801700633684,25,beta = 0
72,0,25,model4,0.5360528702305394,25,beta = 0
73,0,25,model1,0.3403662439280333,25,beta = 0
73,0,25,model2,0.704633920181248,25,beta = 0
73,0,25,model3,0.9994871703368206,25,beta = 0
73,0,25,model4,0.9941333544686138,25,beta = 0
74,0,25,model1,0.6682894712764921,25,beta = 0
74,0,25,model2,0.7726626001204365,25,beta = 0
74,0,25,model3,0.2703626753380577,25,beta = 0
74,0,25,model4,0.06562259557856569,25,beta = 0
75,0,25,model1,0.7589106013020621,25,beta = 0
75,0,25,model2,0.7849858326830639,25,beta = 0
75,0,25,model3,0.044936941780773,25,beta = 0
75,0,25,model4,0.9202965101092302,25,beta = 0
76,0,25,model1,0.9201989252756648,25,beta = 0
76,0,25,model2,0.5071347305991221,25,beta = 0
76,0,25,model3,0.9844101409437161,25,beta = 0
76,0,25,model4,0.19846647536384593,25,beta = 0
77,0,25,model1,0.42300824614079513,25,beta = 0
77,0,25,model2,0.6941203852136381,25,beta = 0
77,0,25,model3,0.17746805900940432,25,beta = 0
77,0,25,model4,0.18729545319887683,25,beta = 0
78,0,25,model1,0.46841722683116993,25,beta = 0
78,0,25,model2,0.3759966848440742,25,beta = 0
78,0,25,model3,0.18732015433967572,25,beta = 0
78,0,25,model4,0.3469797010116955,25,beta = 0
79,0,25,model1,0.9388719941037612,25,beta = 0
79,0,25,model2,0.14975905062829883,25,beta = 0
79,0,25,model3,0.8700297023925003,25,beta = 0
79,0,25,model4,0.040619287144675456,25,beta = 0
80,0,25,model1,0.47204784427819857,25,beta = 0
80,0,25,model2,0.08868388621311155,25,beta = 0
80,0,25,model3,0.3110352606734673,25,beta = 0
80,0,25,model4,0.9317027958541927,25,beta = 0
